Genotype,Dish_Number,Date,Day_of,file,X,mean_grey,sd_grey,mean_area,sd_area,mean_perimeter,sd_perimeter,mean_major,sd_major,mean_minor,sd_minor,mean_ar,sd_ar,sd_turning,duration,N_frames,max_net,net_disp,net_speed,gross_disp,gross_speed,max_step,min_step,sd_step,sd_gross_speed,max_gross_speed,min_gross_speed,mean_turning
Mix,34,11_14_2022,14,Mix_34_11_14_2022,431,66.60249187,4.403357105,7994.621575,3147.830121,418.5986891,106.51888,174.9110698,43.34572609,55.64567806,13.2514081,3.209636842,0.73159146,0.51952381,9.031746032,141.0952381,5775.677619,5094.714286,650.7119048,15602.06667,1755.371429,1158.963333,13.5847619,124.4333333,717.9042857,4547.622381,231.272381,0.00952381
Mix,34,11_18_2022,18,Mix_34_11_18_2022,324,67.0083478,6.271358299,7772.154679,3509.185866,409.192783,112.5008006,170.3065622,45.78263338,55.02732822,15.31280337,3.239190511,0.841157107,0.568235294,10.80065359,172.7058824,6134.072941,4218.705882,436.2176471,18885.19529,1847.925294,1679.495294,13.10941176,168.24,717.0735294,4621.782353,206.7947059,0.004117647
Mix,34,11_21_2022,21,Mix_34_11_21_2022,333,66.99562945,6.415675001,7724.556417,3327.737578,399.6249403,107.1375018,167.1582421,45.60865406,54.76717166,13.87001192,3.096713575,0.719088856,0.503529412,10.94771242,172,7454.727647,6485.058824,649.1517647,21337.61235,1914.74,1161.330588,19.00176471,118.9664706,717.7523529,4852.051765,342.0217647,0.012352941
Mix,34,11_23_2022,23,Mix_34_11_23_2022,311,56.008776,3.211817561,6030.493269,2208.944392,361.2928555,87.53762848,151.7458676,38.61951067,48.61088213,10.80654047,3.179523696,0.807487259,0.531538462,9.867521368,146,6968.508462,5453.230769,651.7823077,17155.41,1815.612308,2327.921538,14.88769231,235.1076923,744.0076923,4569.680769,223.1930769,-0.013076923
G56,35,11_1_2022,0,NA,NA,88.45142611,5.319192676,6392.672243,2053.384565,347.2054659,73.79449451,139.8377105,29.7653125,56.70530332,11.41854923,2.536700897,0.569237712,0.533913043,10.28019324,169.4347826,4874.163043,4259.956522,482.9117391,9156.283043,960.913913,855.7491304,8.404347826,81.53086957,482.4173913,3606.62,150.9526087,0.016956522
G56,35,11_2_2022,1,G56_35_11_2_2022,270.5,83.20330805,5.307196158,7246.640059,1956.751323,384.3099579,67.06972441,159.1196249,29.1777054,56.65803295,10.39762732,2.868932856,0.578238773,0.4475,11.33333333,186.5,6326.7555,5282.8,505.5135,15343.498,1376.17,996.5885,7.9345,85.9105,528.6895,3799.0575,127.651,0.0045
G56,35,11_4_2022,3,G56_35_11_4_2022,234,88.05923456,5.816145872,6486.317842,1809.490735,346.09306,60.75674278,140.4361071,24.94492963,57.5513418,10.20651271,2.491617474,0.4709044,0.374,10.27111111,169.76,5571.6948,4492.92,512.5648,12408.3316,1196.986,989.1292,10.142,86.52,445.578,3781.0276,174.5276,0.004
G56,35,11_5_2022,4,G56_35_11_5_2022,34.5,85.01682878,2.485921228,6267.608688,1031.801212,338.0125402,38.56017948,136.4027907,18.35937833,58.34093434,6.379698842,2.386211844,0.41503606,0.346666667,13.28703704,235,5516.14,5042.166667,420.51,10909.43833,815.23,435.765,5.615,30.83666667,314.2433333,3278.421667,101.1033333,0.021666667
G56,35,11_9_2022,8,G56_35_11_9_2022,115.5,85.67898136,4.363482974,8249.968656,1977.84909,387.5258738,67.88904343,155.0964609,29.08878148,66.82878062,10.39812316,2.373111257,0.468448423,0.551666667,13.65740741,218,6767.898333,5832.833333,433.59,16939.805,1270.205,830.76,5.303333333,89.73166667,595.1533333,3154.526667,95.48166667,0.001666667
G56,35,11_12_2022,11,G56_35_11_12_2022,109,64.0711,5.762242413,6684.522238,2363.188514,369.7940529,84.12075752,154.2613987,35.0394795,52.66332722,11.23627095,2.971065611,0.60453945,0.485882353,9.330065359,138.0588235,7136.498824,5873.411765,751.3635294,19974.24706,2147.980588,1404.771765,16.77235294,159.1558824,715.8105882,4548.858824,276.6652941,0.025294118
G56,35,11_14_2022,13,G56_35_11_14_2022,88.5,68.06657291,5.285037076,6118.551927,1868.613739,344.2411967,69.37329733,141.8289343,30.41893301,53.17145917,10.24486485,2.73509122,0.62555615,0.5235,13.05833333,216.75,6324.7335,5675.1,517.8465,12427.39,1017.6355,967.848,4.403,75.077,552.487,4057.1905,79.266,-0.004
G34,36,11_1_2022,0,NA,NA,89.71817246,6.031563331,14867.60555,3404.413069,541.2966039,88.52892464,219.9695301,35.33341165,84.80744057,13.99222998,2.638800964,0.470422377,0.442727273,10.84343434,181.3181818,7403.894545,5143.954545,582.1863636,20167.24727,1902.055909,1208.239545,14.77909091,111.9527273,600.5195455,4333.955455,265.1281818,-0.005909091
G34,36,11_2_2022,1,G34_36_11_2_2022,143.5,84.68591152,6.971225655,9315.474837,2877.777666,438.6065673,90.31711586,181.1534014,35.64008462,63.58767476,13.28797353,2.914202975,0.575449035,0.46,9.530092593,152.5416667,7401.129583,5933.583333,704.7504167,20367.5525,2176.890417,1237.08125,19.99541667,121.7804167,655.94875,4593.7475,350.0270833,-0.008333333
G34,36,11_4_2022,3,G34_36_11_4_2022,140,86.8799679,7.094231149,9140.169741,2789.067653,444.0834068,83.98955415,185.0848806,32.02257174,61.46486909,12.89101534,3.099995422,0.583162314,0.416470588,11.31045752,184.9411765,7369.727059,5657.941176,558.1188235,23023.97765,2103.124706,990.5211765,22.13058824,93.54529412,558.6417647,4483.122353,362.9835294,-0.011176471
G34,36,11_9_2022,8,G34_36_11_9_2022,28.5,86.55823794,3.444902977,7941.624237,1767.950662,414.1585344,66.56257966,173.8190147,30.61081167,57.39096993,8.65306975,3.086535505,0.63733135,0.346666667,9.983796296,165.1666667,6105.393333,5184.166667,596.7579167,12796.88042,1291.994167,981.12375,9.095833333,92.745,507.8991667,3621.2825,155.00625,7.2444845683222e-20
G34,36,11_12_2022,11,G34_36_11_12_2022,25.5,67.58841828,4.053415633,6369.864967,2474.774292,360.0985456,98.23425466,148.4703079,42.33640048,51.76728597,12.04464261,2.928061614,0.829919842,0.606428571,10.9047619,166.2142857,3489.471429,2718.714286,251.58,12255.01286,1117.655714,1263.453571,3.091428571,132.6535714,617.475,4352.630714,53.71285714,-0.017142857
G34,36,11_14_2022,13,G34_36_11_14_2022,33.5,68.33608849,4.196459824,6714.281366,2514.552798,385.2505054,99.25642084,161.4349042,41.28314299,50.38532982,12.45887192,3.292481649,0.896633571,0.618636364,9.482323232,146.2727273,4852.539091,4360.181818,517.1295455,11778.62182,1282.457727,1378.690455,5.604545455,137.3363636,667.2831818,4195.007273,99.69454545,-0.017272727
Mix,37,10_31_2022,0,NA,NA,88.71580202,5.664656366,10988.16229,3097.984156,468.4540931,93.80362873,191.2959009,38.14061272,70.4416652,13.04062695,2.815717799,0.600697179,0.507971876,10.83273741,177.9864792,5916.529446,4662.881712,495.6060075,15472.55889,1440.492174,1024.448915,10.1155834,97.18751569,555.8242282,4126.770323,170.2946176,0.006129553
Mix,37,11_2_2022,2,Mix_37_11_2_2022,725,84.68659576,6.065107951,9366.589064,2684.265244,441.2059337,85.73534597,183.4456045,35.92439832,62.69935819,12.27787836,3.024151782,0.678147531,0.448947368,11.92982456,187.8947368,7409.474737,5812.684211,564.7210526,19095.7,1649.349474,1272.038947,12.38842105,127.3931579,656.9236842,4478.841053,217.1247368,-0.002105263
Mix,37,11_4_2022,4,Mix_37_11_4_2022,689,86.24601358,6.494508121,10051.55477,3304.002543,454.0384966,101.0207607,187.0261445,42.22290145,65.84779518,14.19849216,2.921920814,0.699638661,0.526842105,10.43567251,167.9473684,6015.247368,5092.736842,550.7678947,15596.84579,1446.404737,1495.317895,5.734210526,132.7921053,749.5905263,4158.364211,97.13526316,-0.011578947
Mix,37,11_9_2022,9,Mix_37_11_9_2022,144.5,81.95717099,3.782206149,9633.354357,2533.266176,423.9607539,80.66738422,170.9989526,35.9993881,69.95852383,11.98120587,2.482121269,0.592637889,0.680714286,10.21428571,170.9642857,4513.276429,3691.178571,394.73,12485.32821,1212.003571,861.915,4.997142857,85.2225,671.3660714,4155.0425,88.13,0.122857143
Mix,37,11_12_2022,12,Mix_37_11_12_2022,486,65.13717838,6.332727716,11447.5233,4185.622504,487.9324752,117.2504689,202.4012687,51.41494952,68.95328365,15.18941442,3.014768842,0.751083774,0.584347826,9.528985507,147.3043478,5794.862174,5018.391304,608.9804348,13763.81913,1466.151739,1409.756957,4.536086957,147.8347826,795.2430435,4564.314783,77.64173913,-0.000434783
Mix,37,11_14_2022,14,Mix_37_11_14_2022,451.5,66.94348497,5.041684717,10437.37559,3819.295451,456.0448884,107.330606,187.3243626,45.12774385,66.98847901,15.4422994,2.898323899,0.719187387,0.555,11.87222222,193.35,5788.9705,3801.35,341.0965,17371.571,1448.9185,1202.892,5.137,113.158,693.5965,4120.6685,92.4605,0.0075
Mix,37,11_18_2022,18,Mix_37_11_18_2022,341,68.71934263,6.323191144,10231.4416,3403.175645,482.0091342,106.2464551,202.7145296,44.3647801,61.94548656,14.43247742,3.357988476,0.752819887,0.481176471,9.617647059,146.0588235,6736.251765,5190.294118,668.1429412,18998.81412,2079.144706,1708.771176,15.18764706,180.6852941,752.1023529,4357.401765,273.3817647,0.013529412
Mix,37,11_21_2022,21,Mix_37_11_21_2022,350.5,68.53932844,5.140755852,9612.090948,3881.042194,450.6080908,118.5793827,187.9377355,51.90683173,61.7502725,15.14212221,3.098270001,0.715256511,0.514444444,10.54938272,166.6111111,7787.683333,5922.777778,661.5572222,19670.06611,1900.428333,1465.936667,12.31222222,140.2544444,808.0938889,4715.907222,218.5177778,-0.002222222
Mix,37,11_23_2022,23,Mix_37_11_23_2022,327.5,56.00822401,3.185787657,7562.442116,2596.159727,393.2007921,94.57380862,164.9475638,42.00686036,54.87010875,12.20690482,3.043983895,0.812765568,0.544,9.861111111,155.3,5929.0655,4611.55,528.0405,13707.676,1343.8765,1242.856,5.805,125.5345,684.302,4296.0385,101.6245,0.01
G56,38,11_1_2022,0,NA,NA,88.45142611,5.319192676,6392.672243,2053.384565,347.2054659,73.79449451,139.8377105,29.7653125,56.70530332,11.41854923,2.536700897,0.569237712,0.533913043,10.28019324,169.4347826,4874.163043,4259.956522,482.9117391,9156.283043,960.913913,855.7491304,8.404347826,81.53086957,482.4173913,3606.62,150.9526087,0.016956522
G56,38,11_2_2022,1,G56_38_11_2_2022,289,82.43595432,5.45613525,6605.506343,2350.086583,351.9103879,80.58372045,142.1061094,30.75449399,56.79619494,12.91776034,2.581200953,0.565984265,0.415294118,10.21895425,168.7647059,6152.531176,5130.764706,543.1794118,13487.57647,1365.085882,721.2288235,16.50352941,72.79,573.3817647,4398.007059,275.6811765,0.002352941
G56,38,11_5_2022,4,G56_38_11_5_2022,49,80.54716723,5.31275291,7514.436591,2312.16123,376.1607945,84.56735182,153.0421195,37.46656277,60.48048443,11.47504145,2.575013723,0.655583422,0.588695652,10.99275362,180.9130435,3651.336522,3280.217391,302.2617391,7035.203913,638.5795652,895.0891304,3.062608696,81.83434783,399.626087,3607.259565,54.19956522,0.019565217
